Player,Season,TPM,TPA,TPP
Avery Johnson,1998,2,13,0.15384615384615385
B.J. Armstrong,1998,9,35,0.2571428571428571
Ben Davis,1998,0,0,NA
Ben Wallace,1998,0,0,NA
Benoit Benjamin,1998,0,0,NA
Bill Curley,1998,0,1,0
Bill Wennington,1998,0,0,NA
Billy Owens,1998,26,70,0.37142857142857144
Bimbo Coles,1998,13,57,0.22807017543859648
Bison Dele,1998,1,3,0.3333333333333333
Blue Edwards,1998,40,120,0.3333333333333333
Bo Outlaw,1998,1,4,0.25
Bob McCann,1998,0,0,NA
Bob Sura,1998,19,60,0.31666666666666665
Bobby Hurley,1998,5,22,0.22727272727272727
Bobby Jackson,1998,21,81,0.25925925925925924
Bobby Phills,1998,44,114,0.38596491228070173
Brad Lohaus,1998,4,14,0.2857142857142857
Brandon Williams,1998,3,9,0.3333333333333333
Brent Barry,1998,90,229,0.3930131004366812
Brent Price,1998,73,187,0.39037433155080214
Brevin Knight,1998,0,7,0
Brian Evans,1998,29,87,0.3333333333333333
Brian Grant,1998,0,1,0
Brian Oliver,1998,0,0,NA
Brian Shaw,1998,28,95,0.29473684210526313
Brooks Thompson,1998,9,30,0.3
Bruce Bowen,1998,20,59,0.3389830508474576
Bryant Reeves,1998,0,4,0
Bryant Stith,1998,10,48,0.20833333333333334
Bryon Russell,1998,73,214,0.3411214953271028
Bubba Wells,1998,1,6,0.16666666666666666
Buck Williams,1998,0,0,NA
Calbert Cheaney,1998,15,53,0.2830188679245283
Carl Herrera,1998,0,1,0
Carl Thomas,1998,20,59,0.3389830508474576
Carlos Rogers,1998,0,2,0
Cedric Ceballos,1998,21,70,0.3
Cedric Henderson,1998,0,4,0
Charles Barkley*,1998,18,84,0.21428571428571427
Charles Jones,1998,0,0,NA
Charles O'Bannon,1998,0,3,0
Charles Oakley,1998,0,6,0
Charles Smith,1998,15,47,0.3191489361702128
Charlie Ward,1998,81,215,0.3767441860465116
Chauncey Billups,1998,107,325,0.3292307692307692
Cherokee Parks,1998,0,1,0
Chris Anstey,1998,3,16,0.1875
Chris Carr,1998,40,127,0.31496062992125984
Chris Childs,1998,27,87,0.3103448275862069
Chris Crawford,1998,1,3,0.3333333333333333
Chris Dudley,1998,0,0,NA
Chris Garner,1998,4,14,0.2857142857142857
Chris Gatling,1998,1,4,0.25
Chris Mills,1998,40,137,0.291970802919708
Chris Morris,1998,19,62,0.3064516129032258
Chris Mullin*,1998,107,243,0.4403292181069959
Chris Robinson,1998,24,66,0.36363636363636365
Chris Webber,1998,65,205,0.3170731707317073
Chris Whitney,1998,52,169,0.3076923076923077
Christian Laettner,1998,6,27,0.2222222222222222
Chuck Person,1998,95,276,0.3442028985507246
Chucky Brown,1998,2,8,0.25
Clarence Weatherspoon,1998,0,0,NA
Clifford Robinson,1998,27,84,0.32142857142857145
Clifford Rozier,1998,0,0,NA
Clyde Drexler*,1998,106,334,0.31736526946107785
Corey Beck,1998,2,4,0.5
Corie Blount,1998,0,4,0
Corliss Williamson,1998,0,9,0
