Player,Season,TPM,TPA,TPP
Chauncey Billups,2001,73,194,0.37628865979381443
Cherokee Parks,2001,0,6,0
Chris Carr,2001,17,37,0.4594594594594595
Chris Childs,2001,32,106,0.3018867924528302
Chris Crawford,2001,6,22,0.2727272727272727
Chris Dudley,2001,0,0,NA
Chris Garner,2001,0,7,0
Chris Gatling,2001,28,92,0.30434782608695654
Chris Herren,2001,16,55,0.2909090909090909
Chris Mihm,2001,0,1,0
Chris Mills,2001,7,25,0.28
Chris Mullin*,2001,19,52,0.36538461538461536
Chris Porter,2001,0,5,0
Chris Webber,2001,2,28,0.07142857142857142
Chris Whitney,2001,93,248,0.375
Christian Laettner,2001,4,13,0.3076923076923077
Chucky Atkins,2001,121,339,0.35693215339233036
Chucky Brown,2001,0,3,0
Clarence Weatherspoon,2001,0,0,NA
Clifford Robinson,2001,90,249,0.3614457831325301
Corey Benjamin,2001,21,81,0.25925925925925924
Corey Maggette,2001,17,56,0.30357142857142855
Corie Blount,2001,2,8,0.25
Corliss Williamson,2001,0,2,0
Cory Alexander,2001,4,16,0.25
Courtney Alexander,2001,17,46,0.3695652173913043
Cuttino Mobley,2001,90,252,0.35714285714285715
Dale Davis,2001,0,4,0
Dalibor Bagaric,2001,0,1,0
Damon Jones,2001,84,231,0.36363636363636365
Damon Stoudamire,2001,82,219,0.3744292237442922
Dan Langhi,2001,0,1,0
Dan Majerle,2001,57,181,0.3149171270718232
Dan McClintock,2001,0,0,NA
Dana Barros,2001,44,105,0.41904761904761906
Daniel Santiago,2001,0,0,NA
Danny Ferry,2001,70,156,0.44871794871794873
Danny Fortson,2001,0,0,NA
Danny Manning,2001,7,28,0.25
Darius Miles,2001,1,19,0.05263157894736842
Darrell Armstrong,2001,143,403,0.3548387096774194
Darrick Martin,2001,14,27,0.5185185185185185
Darvin Ham,2001,2,3,0.6666666666666666
David Benoit,2001,5,13,0.38461538461538464
David Robinson*,2001,0,1,0
David Vanterpool,2001,0,6,0
David Wesley,2001,97,258,0.375968992248062
David Wingate,2001,0,0,NA
DeShawn Stevenson,2001,1,12,0.08333333333333333
Dean Garrett,2001,0,0,NA
Dee Brown,2001,12,32,0.375
Dell Curry,2001,62,145,0.42758620689655175
DerMarr Johnson,2001,41,127,0.3228346456692913
Derek Anderson,2001,101,253,0.39920948616600793
Derek Fisher,2001,25,63,0.3968253968253968
Derek Strong,2001,0,1,0
Derrick Coleman,2001,20,51,0.39215686274509803
Derrick Dial,2001,2,10,0.2
Derrick McKey,2001,4,20,0.2
Desmond Mason,2001,18,67,0.26865671641791045
Detlef Schrempf,2001,3,8,0.375
Devean George,2001,15,68,0.22058823529411764
Dikembe Mutombo*,2001,0,0,NA
Dion Glover,2001,9,46,0.1956521739130435
Dirk Nowitzki,2001,151,390,0.3871794871794872
Don MacLean,2001,2,2,1
Don Reid,2001,0,0,NA
Donnell Harvey,2001,0,0,NA
Donyell Marshall,2001,41,128,0.3203125
Doug Christie,2001,94,250,0.376
Doug Overton,2001,11,36,0.3055555555555556
Doug West,2001,0,2,0
Dragan Tarlac,2001,0,0,NA
Duane Causwell,2001,0,0,NA
Earl Boykins,2001,1,8,0.125
Eddie Gill,2001,3,9,0.3333333333333333
Eddie House,2001,19,55,0.34545454545454546
Eddie Jones,2001,90,238,0.37815126050420167
Eddie Robinson,2001,2,4,0.5
Eduardo Najera,2001,1,3,0.3333333333333333
Elden Campbell,2001,0,6,0
Eldridge Recasner,2001,13,39,0.3333333333333333
Elliot Perry,2001,1,5,0.2
Elton Brand,2001,0,2,0
Emanual Davis,2001,50,127,0.3937007874015748
Eric Montross,2001,0,0,NA
Eric Piatkowski,2001,120,297,0.40404040404040403
Eric Snow,2001,5,19,0.2631578947368421
Eric Williams,2001,46,139,0.33093525179856115
Erick Barkley,2001,3,8,0.375
Erick Dampier,2001,0,2,0
Erick Strickland,2001,30,95,0.3157894736842105
Ervin Johnson,2001,0,0,NA
Etdrick Bohannon,2001,0,0,NA
Evan Eschmeyer,2001,0,0,NA
Felipe Lopez,2001,19,52,0.36538461538461536
Felton Spencer,2001,0,0,NA
Fred Hoiberg,2001,103,250,0.412
Garth Joseph,2001,0,0,NA
Gary Grant,2001,0,0,NA
Gary Payton*,2001,102,272,0.375
Gary Trent,2001,0,1,0
George Lynch,2001,15,57,0.2631578947368421
George McCloud,2001,77,234,0.32905982905982906
Gerard King,2001,0,0,NA
Glen Rice,2001,82,211,0.3886255924170616
Glenn Robinson,2001,55,184,0.29891304347826086
Grant Hill,2001,1,1,1
Grant Long,2001,4,15,0.26666666666666666
Greg Anthony,2001,65,159,0.4088050314465409
Greg Buckner,2001,2,7,0.2857142857142857
Greg Foster,2001,3,9,0.3333333333333333
Greg Ostertag,2001,1,2,0.5
Hakeem Olajuwon*,2001,0,1,0
Hanno Mottola,2001,0,3,0
Hedo Turkoglu,2001,28,86,0.32558139534883723
Hersey Hawkins,2001,17,46,0.3695652173913043
Horace Grant,2001,0,3,0
Howard Eisley,2001,107,269,0.39776951672862454
Hubert Davis,2001,78,171,0.45614035087719296
Ira Bowman,2001,0,0,NA
Ira Newble,2001,4,9,0.4444444444444444
Isaac Austin,2001,6,24,0.25
Isaiah Rider,2001,34,92,0.3695652173913043
J.R. Reid,2001,0,0,NA
Jabari Smith,2001,0,0,NA
Jacque Vaughn,2001,30,78,0.38461538461538464
Jahidi White,2001,0,1,0
Jake Tsakalidis,2001,0,0,NA
Jake Voskuhl,2001,0,0,NA
Jalen Rose,2001,59,174,0.3390804597701149
Jamaal Magloire,2001,0,2,0
Jamal Crawford,2001,41,117,0.3504273504273504
Jamal Mashburn,2001,103,289,0.356401384083045
Jamal Robinson,2001,0,2,0
Jamel Thomas,2001,1,3,0.3333333333333333
James Posey,2001,65,217,0.2995391705069124
James Robinson,2001,2,5,0.4
Jamie Feick,2001,0,0,NA
Jaren Jackson,2001,7,18,0.3888888888888889
Jason Caffey,2001,0,0,NA
Jason Collier,2001,0,1,0
Jason Hart,2001,0,0,NA
Jason Kidd,2001,69,232,0.2974137931034483
Jason Terry,2001,124,314,0.39490445859872614
Jason Williams,2001,98,311,0.31511254019292606
Jeff Foster,2001,2,7,0.2857142857142857
Jeff McInnis,2001,52,144,0.3611111111111111
Jelani McCoy,2001,0,0,NA
Jermaine O'Neal,2001,0,5,0
Jerome Kersey,2001,0,1,0
Jerome Moiso,2001,0,1,0
Jerome Williams,2001,0,3,0
Jerry Stackhouse,2001,166,473,0.35095137420718814
Jim Jackson,2001,26,80,0.325
Jim McIlvaine,2001,0,0,NA
Joe Smith,2001,0,5,0
Joel Przybilla,2001,0,0,NA
John Amaechi,2001,0,7,0
John Coker,2001,0,0,NA
John Crotty,2001,4,7,0.5714285714285714
John Starks,2001,64,182,0.3516483516483517
John Stockton*,2001,61,132,0.4621212121212121
John Wallace,2001,2,15,0.13333333333333333
Johnny Newman,2001,59,176,0.3352272727272727
Jon Barry,2001,46,132,0.3484848484848485
Jonathan Bender,2001,11,41,0.2682926829268293
Jud Buechler,2001,32,77,0.4155844155844156
Jumaine Jones,2001,20,60,0.3333333333333333
Juwan Howard,2001,0,3,0
Karl Malone*,2001,2,5,0.4
Keith Van Horn,2001,65,170,0.38235294117647056
Kelvin Cato,2001,0,0,NA
Kendall Gill,2001,4,14,0.2857142857142857
Kenny Anderson,2001,11,33,0.3333333333333333
Kenny Thomas,2001,25,92,0.2717391304347826
Kenyon Martin,2001,1,11,0.09090909090909091
Keon Clark,2001,0,1,0
Kevin Edwards,2001,5,19,0.2631578947368421
Kevin Garnett,2001,19,66,0.2878787878787879
Kevin Ollie,2001,1,3,0.3333333333333333
Kevin Willis,2001,1,6,0.16666666666666666
Keyon Dooling,2001,28,80,0.35
Khalid El-Amin,2001,28,84,0.3333333333333333
Kobe Bryant,2001,61,200,0.305
Kornel David,2001,0,0,NA
Kurt Thomas,2001,1,3,0.3333333333333333
LaPhonso Ellis,2001,7,22,0.3181818181818182
Lamar Odom,2001,80,253,0.31620553359683795
Lamond Murray,2001,61,165,0.3696969696969697
Lari Ketner,2001,0,0,NA
Laron Profit,2001,7,26,0.2692307692307692
Larry Hughes,2001,14,75,0.18666666666666668
Larry Johnson,2001,51,163,0.3128834355828221
Larry Robinson,2001,44,116,0.3793103448275862
Latrell Sprewell,2001,41,135,0.3037037037037037
Lavor Postell,2001,3,11,0.2727272727272727
Lawrence Funderburke,2001,0,0,NA
Lee Nailon,2001,0,1,0
Lindsey Hunter,2001,152,407,0.37346437346437344
Lorenzen Wright,2001,0,2,0
Loy Vaught,2001,0,0,NA
Luc Longley,2001,0,0,NA
Lucious Harris,2001,46,132,0.3484848484848485
Mahmoud Abdul-Rauf,2001,4,14,0.2857142857142857
Malik Rose,2001,3,17,0.17647058823529413
Mamadou N'Diaye,2001,0,0,NA
Marc Jackson,2001,5,23,0.21739130434782608
Marcus Camby,2001,1,8,0.125
Marcus Fizer,2001,10,39,0.2564102564102564
Mario Elie,2001,36,100,0.36
Mark Blount,2001,0,0,NA
Mark Bryant,2001,0,0,NA
Mark Jackson,2001,70,207,0.33816425120772947
Mark Madsen,2001,1,1,1
Mark Pope,2001,5,24,0.20833333333333334
Mark Strickland,2001,1,2,0.5
Mateen Cleaves,2001,5,17,0.29411764705882354
Matt Bullard,2001,86,213,0.40375586854460094
Matt Geiger,2001,0,2,0
Matt Harpring,2001,13,52,0.25
Matt Maloney,2001,51,142,0.3591549295774648
Maurice Taylor,2001,0,4,0
Metta World Peace,2001,43,148,0.2905405405405405
Michael Curry,2001,4,9,0.4444444444444444
Michael Dickerson,2001,86,230,0.3739130434782609
Michael Doleac,2001,0,3,0
Michael Finley,2001,91,263,0.34600760456273766
Michael Hawkins,2001,2,4,0.5
Michael Olowokandi,2001,0,0,NA
Michael Redd,2001,0,3,0
Michael Ruffin,2001,0,0,NA
Michael Smith,2001,0,1,0
Michael Stewart,2001,0,0,NA
Mike Bibby,2001,108,285,0.37894736842105264
Mike Miller,2001,148,364,0.4065934065934066
Mike Penberthy,2001,55,139,0.39568345323741005
Mike Smith,2001,3,18,0.16666666666666666
Mikki Moore,2001,0,1,0
Milt Palacio,2001,12,36,0.3333333333333333
Mitch Richmond*,2001,45,133,0.3383458646616541
Monty Williams,2001,1,13,0.07692307692307693
Moochie Norris,2001,25,89,0.2808988764044944
Mookie Blaylock,2001,73,225,0.3244444444444444
Morris Peterson,2001,63,165,0.38181818181818183
Muggsy Bogues,2001,0,1,0
Nazr Mohammed,2001,0,1,0
Nick Anderson,2001,10,39,0.2564102564102564
Nick Van Exel,2001,135,358,0.3770949720670391
Obinna Ekezie,2001,0,0,NA
Olden Polynice,2001,0,1,0
Olumide Oyedeji,2001,0,0,NA
Othella Harrington,2001,0,3,0
Otis Thorpe,2001,0,0,NA
P.J. Brown,2001,0,4,0
Pat Garrity,2001,97,224,0.4330357142857143
Patrick Ewing*,2001,0,2,0
Paul McPherson,2001,2,12,0.16666666666666666
Paul Pierce,2001,147,384,0.3828125
Peja Stojakovic,2001,144,360,0.4
Pepe Sanchez,2001,0,1,0
Pervis Ellison,2001,0,0,NA
Popeye Jones,2001,1,6,0.16666666666666666
Quentin Richardson,2001,50,151,0.33112582781456956
Quincy Lewis,2001,9,25,0.36
Raef LaFrentz,2001,51,139,0.3669064748201439
Rafer Alston,2001,8,30,0.26666666666666666
Raja Bell,2001,1,3,0.3333333333333333
Randy Brown,2001,0,3,0
Randy Livingston,2001,0,1,0
Rashard Lewis,2001,123,285,0.43157894736842106
Rasheed Wallace,2001,52,162,0.32098765432098764
Rasho Nesterovic,2001,0,1,0
Ray Allen,2001,202,467,0.43254817987152033
Reggie Miller*,2001,170,464,0.36637931034482757
Reggie Slater,2001,0,0,NA
Richard Hamilton,2001,40,146,0.273972602739726
Rick Brunson,2001,2,14,0.14285714285714285
Rick Fox,2001,118,300,0.3933333333333333
Ricky Davis,2001,1,1,1
Robert Horry,2001,54,156,0.34615384615384615
Robert Pack,2001,12,31,0.3870967741935484
Robert Traylor,2001,0,2,0
Rod Strickland,2001,4,17,0.23529411764705882
Rodney Buford,2001,16,38,0.42105263157894735
Rodney Rogers,2001,56,189,0.2962962962962963
Ron Harper,2001,19,72,0.2638888888888889
Ron Mercer,2001,14,46,0.30434782608695654
Roshown McLeod,2001,2,22,0.09090909090909091
Ruben Garces,2001,0,0,NA
Ruben Patterson,2001,2,36,0.05555555555555555
Ruben Wolkowyski,2001,0,2,0
Ryan Bowen,2001,4,11,0.36363636363636365
Sam Cassell,2001,30,98,0.30612244897959184
Sam Jacobson,2001,0,0,NA
Sam Mitchell,2001,9,43,0.20930232558139536
Sam Perkins,2001,38,110,0.34545454545454546
Samaki Walker,2001,1,3,0.3333333333333333
Scot Pollard,2001,0,2,0
Scott Burrell,2001,2,6,0.3333333333333333
Scott Padgett,2001,5,9,0.5555555555555556
Scott Williams,2001,1,4,0.25
Scottie Pippen*,2001,64,186,0.34408602150537637
Sean Colson,2001,1,5,0.2
Sean Elliott,2001,55,129,0.4263565891472868
Sean Rooks,2001,1,2,0.5
Shammond Williams,2001,61,133,0.45864661654135336
Shandon Anderson,2001,46,170,0.27058823529411763
Shaquille O'Neal*,2001,0,2,0
Shareef Abdur-Rahim,2001,12,64,0.1875
Shawn Bradley,2001,1,6,0.16666666666666666
Shawn Kemp,2001,4,11,0.36363636363636365
Shawn Marion,2001,21,82,0.25609756097560976
Shawnelle Scott,2001,0,0,NA
Sherman Douglas,2001,8,40,0.2
Soumaila Samake,2001,0,0,NA
Stacey Augmon,2001,0,4,0
Stanislav Medvedenko,2001,1,1,1
Stephen Jackson,2001,52,155,0.33548387096774196
Stephon Marbury,2001,110,335,0.3283582089552239
Steve Francis,2001,133,336,0.3958333333333333
Steve Goodrich,2001,1,3,0.3333333333333333
Steve Kerr,2001,33,77,0.42857142857142855
Steve Nash,2001,89,219,0.4063926940639269
Steve Smith,2001,78,230,0.3391304347826087
Stromile Swift,2001,0,4,0
Tariq Abdul-Wahad,2001,4,10,0.4
Terrance Roberson,2001,0,1,0
Terrell Brandon,2001,33,91,0.3626373626373626
Terry Davis,2001,0,0,NA
Terry Mills,2001,3,17,0.17647058823529413
Terry Porter,2001,87,205,0.424390243902439
Theo Ratliff,2001,0,0,NA
Tim Duncan,2001,7,27,0.25925925925925924
Tim Hardaway,2001,189,517,0.3655705996131528
Tim James,2001,1,3,0.3333333333333333
Tim Thomas,2001,107,260,0.4115384615384615
Todd Day,2001,26,69,0.37681159420289856
Todd Fuller,2001,0,0,NA
Todd MacCulloch,2001,0,0,NA
Tom Gugliotta,2001,3,12,0.25
Tom Hammonds,2001,0,0,NA
Toni Kukoc,2001,70,157,0.445859872611465
Tony Battie,2001,0,3,0
Tony Delk,2001,54,168,0.32142857142857145
Tony Massenburg,2001,0,0,NA
Tony Smith,2001,0,2,0
Tracy McGrady,2001,59,166,0.35542168674698793
Tracy Murray,2001,36,103,0.34951456310679613
Trajan Langdon,2001,51,124,0.4112903225806452
Travis Best,2001,37,97,0.38144329896907214
Travis Knight,2001,0,1,0
Troy Hudson,2001,22,109,0.2018348623853211
Tyrone Corbin,2001,0,5,0
Tyrone Hill,2001,0,1,0
Tyrone Nesby,2001,49,180,0.2722222222222222
Tyronn Lue,2001,11,34,0.3235294117647059
Tyus Edney,2001,1,6,0.16666666666666666
Vernon Maxwell,2001,34,111,0.3063063063063063
Vin Baker,2001,1,16,0.0625
Vince Carter,2001,162,397,0.4080604534005038
Vinny Del Negro,2001,1,13,0.07692307692307693
Vitaly Potapenko,2001,0,0,NA
Vlade Divac,2001,4,14,0.2857142857142857
Vladimir Stepania,2001,1,4,0.25
Vonteego Cummings,2001,48,143,0.3356643356643357
Voshon Lenard,2001,147,382,0.38481675392670156
Wally Szczerbiak,2001,26,77,0.33766233766233766
Walt Williams,2001,98,248,0.3951612903225806
Walter McCarty,2001,19,56,0.3392857142857143
Wang Zhizhi,2001,0,2,0
Wesley Person,2001,34,84,0.40476190476190477
Will Perdue,2001,0,0,NA
William Avery,2001,16,59,0.2711864406779661
Zan Tabak,2001,0,0,NA
Zendon Hamilton,2001,0,0,NA
Zydrunas Ilgauskas,2001,0,2,0
A.J. Guyton,2002,46,123,0.37398373983739835
Aaron McKie,2002,51,128,0.3984375
Aaron Williams,2002,0,2,0
Adonal Foyle,2002,0,0,NA
Adrian Griffin,2002,16,54,0.2962962962962963
Al Harrington,2002,1,3,0.3333333333333333
Alan Henderson,2002,1,1,1
Allan Houston,2002,136,346,0.3930635838150289
Allen Iverson*,2002,78,268,0.291044776119403
Alonzo Mourning*,2002,1,3,0.3333333333333333
Alton Ford,2002,0,0,NA
Alvin Jones,2002,0,0,NA
Alvin Williams,2002,62,193,0.32124352331606215
Amal McCaskill,2002,0,0,NA
Andre Miller,2002,22,87,0.25287356321839083
Andrei Kirilenko,2002,25,100,0.25
Andrew DeClercq,2002,0,0,NA
Anfernee Hardaway,2002,23,83,0.27710843373493976
Ansu Sesay,2002,0,0,NA
Antawn Jamison,2002,68,210,0.3238095238095238
Anthony Carter,2002,1,19,0.05263157894736842
Anthony Johnson,2002,4,12,0.3333333333333333
Anthony Mason,2002,1,1,1
Anthony Peeler,2002,111,283,0.392226148409894
Antoine Walker,2002,222,645,0.34418604651162793
Antonio Daniels,2002,57,196,0.29081632653061223
Antonio Davis,2002,0,1,0
Antonio Harvey,2002,0,0,NA
Antonio McDyess,2002,0,0,NA
Antonis Fotsis,2002,7,23,0.30434782608695654
Art Long,2002,0,0,NA
Austin Croshere,2002,49,145,0.33793103448275863
Avery Johnson,2002,0,5,0
Baron Davis,2002,170,478,0.35564853556485354
Ben Wallace,2002,0,3,0
Bimbo Coles,2002,4,20,0.2
Bo Outlaw,2002,1,2,0.5
Bob Sura,2002,42,133,0.3157894736842105
Bobby Jackson,2002,79,219,0.3607305936073059
Bobby Simmons,2002,4,14,0.2857142857142857
Bonzi Wells,2002,66,172,0.38372093023255816
Brad Miller,2002,3,7,0.42857142857142855
Brandon Armstrong,2002,5,17,0.29411764705882354
Brendan Haywood,2002,0,0,NA
Brent Barry,2002,164,387,0.42377260981912146
Brent Price,2002,4,15,0.26666666666666666
Brevin Knight,2002,2,8,0.25
Brian Cardinal,2002,3,7,0.42857142857142855
Brian Grant,2002,0,2,0
Brian Scalabrine,2002,3,10,0.3
Brian Shaw,2002,29,88,0.32954545454545453
Brian Skinner,2002,0,0,NA
Bruce Bowen,2002,56,148,0.3783783783783784
Bruno Sundov,2002,0,1,0
Bryant Stith,2002,24,68,0.35294117647058826
Bryce Drew,2002,31,73,0.4246575342465753
Bryon Russell,2002,77,226,0.3407079646017699
Cal Bowdler,2002,1,5,0.2
Calbert Cheaney,2002,0,4,0
Calvin Booth,2002,0,0,NA
Carlos Arroyo,2002,0,2,0
Carlos Rogers,2002,1,6,0.16666666666666666
Cedric Henderson,2002,2,4,0.5
Charles Oakley,2002,1,6,0.16666666666666666
Charles Smith,2002,35,131,0.26717557251908397
Charlie Bell,2002,0,6,0
Charlie Ward,2002,53,164,0.3231707317073171
Chauncey Billups,2002,124,315,0.39365079365079364
Cherokee Parks,2002,0,0,NA
Chris Andersen,2002,0,4,0
Chris Childs,2002,33,120,0.275
Chris Crawford,2002,0,1,0
Chris Dudley,2002,0,2,0
Chris Gatling,2002,1,8,0.125
Chris Mihm,2002,3,7,0.42857142857142855
Chris Mills,2002,48,127,0.3779527559055118
Chris Webber,2002,5,19,0.2631578947368421
Chris Whitney,2002,131,323,0.4055727554179567
Christian Laettner,2002,2,10,0.2
Chucky Atkins,2002,138,336,0.4107142857142857
Chucky Brown,2002,0,0,NA
Clarence Weatherspoon,2002,0,0,NA
Clifford Robinson,2002,115,304,0.3782894736842105
Corey Maggette,2002,46,139,0.33093525179856115
Corie Blount,2002,0,1,0
Corliss Williamson,2002,1,5,0.2
Courtney Alexander,2002,5,18,0.2777777777777778
Cuttino Mobley,2002,149,377,0.3952254641909814
Dale Davis,2002,0,0,NA
Dalibor Bagaric,2002,0,1,0
Damon Jones,2002,69,186,0.3709677419354839
Damon Stoudamire,2002,104,295,0.3525423728813559
Damone Brown,2002,0,1,0
Dan Langhi,2002,1,4,0.25
Dan Majerle,2002,79,235,0.33617021276595743
Dana Barros,2002,24,71,0.3380281690140845
Daniel Santiago,2002,0,0,NA
Danny Ferry,2002,43,99,0.43434343434343436
Danny Fortson,2002,1,4,0.25
Danny Manning,2002,1,7,0.14285714285714285
Darius Miles,2002,3,19,0.15789473684210525
Darrell Armstrong,2002,139,398,0.3492462311557789
Darrick Martin,2002,0,2,0
Darvin Ham,2002,1,7,0.14285714285714285
David Robinson*,2002,0,0,NA
David Wesley,2002,85,256,0.33203125
DeSagana Diop,2002,0,0,NA
DeShawn Stevenson,2002,2,25,0.08
Dean Garrett,2002,0,0,NA
Dean Oliver,2002,2,13,0.15384615384615385
Dee Brown,2002,1,12,0.08333333333333333
Dell Curry,2002,45,131,0.3435114503816794
DerMarr Johnson,2002,89,247,0.3603238866396761
Derek Anderson,2002,85,228,0.37280701754385964
Derek Fisher,2002,144,349,0.41260744985673353
Derrick Coleman,2002,28,83,0.3373493975903614
Derrick Dial,2002,1,11,0.09090909090909091
Derrick McKey,2002,5,12,0.4166666666666667
Desmond Mason,2002,16,59,0.2711864406779661
Devean George,2002,66,178,0.3707865168539326
Dickey Simpkins,2002,0,0,NA
Dikembe Mutombo*,2002,0,0,NA
Dion Glover,2002,30,91,0.32967032967032966
Dirk Nowitzki,2002,139,350,0.39714285714285713
Don Reid,2002,0,0,NA
Donnell Harvey,2002,0,0,NA
Donny Marshall,2002,2,4,0.5
Donyell Marshall,2002,13,42,0.30952380952380953
Doug Christie,2002,90,256,0.3515625
Doug Overton,2002,7,27,0.25925925925925924
Earl Boykins,2002,13,42,0.30952380952380953
Earl Watson,2002,16,44,0.36363636363636365
Eddie Gill,2002,7,22,0.3181818181818182
Eddie Griffin,2002,90,273,0.32967032967032966
Eddie House,2002,54,157,0.34394904458598724
Eddie Jones,2002,149,382,0.3900523560209424
Eddie Robinson,2002,2,5,0.4
Eddy Curry,2002,0,0,NA
Eduardo Najera,2002,0,2,0
Elden Campbell,2002,0,2,0
Eldridge Recasner,2002,0,1,0
Elliot Perry,2002,0,0,NA
Elton Brand,2002,0,0,NA
Emanual Davis,2002,29,85,0.3411764705882353
Eric Montross,2002,0,1,0
Eric Piatkowski,2002,111,238,0.46638655462184875
Eric Snow,2002,3,27,0.1111111111111111
Eric Williams,2002,24,86,0.27906976744186046
Erick Barkley,2002,1,7,0.14285714285714285
Erick Dampier,2002,0,0,NA
Erick Strickland,2002,95,247,0.38461538461538464
Ernest Brown,2002,0,0,NA
Ervin Johnson,2002,0,1,0
Etan Thomas,2002,0,0,NA
Evan Eschmeyer,2002,0,0,NA
Felipe Lopez,2002,14,33,0.42424242424242425
Felton Spencer,2002,0,0,NA
Fred Hoiberg,2002,24,92,0.2608695652173913
Gary Payton*,2002,74,236,0.3135593220338983
Gary Trent,2002,0,2,0
George Lynch,2002,1,6,0.16666666666666666
George McCloud,2002,60,222,0.2702702702702703
Gerald Wallace,2002,0,7,0
Gilbert Arenas,2002,39,113,0.34513274336283184
Glen Rice,2002,18,64,0.28125
Glenn Robinson,2002,58,178,0.3258426966292135
Grant Hill,2002,0,2,0
Grant Long,2002,3,17,0.17647058823529413
Greg Anthony,2002,48,163,0.294478527607362
Greg Buckner,2002,5,16,0.3125
Greg Foster,2002,0,4,0
Greg Ostertag,2002,0,0,NA
Hakeem Olajuwon*,2002,0,2,0
Hanno Mottola,2002,1,13,0.07692307692307693
Harold Jamison,2002,0,0,NA
Hedo Turkoglu,2002,63,171,0.3684210526315789
Horace Grant,2002,0,0,NA
Howard Eisley,2002,14,58,0.2413793103448276
Hubert Davis,2002,57,126,0.4523809523809524
Ira Bowman,2002,0,1,0
Ira Newble,2002,1,7,0.14285714285714285
Isaac Austin,2002,0,3,0
Isaac Fontaine,2002,1,5,0.2
Isaiah Rider,2002,6,15,0.4
Jabari Smith,2002,0,3,0
Jacque Vaughn,2002,24,54,0.4444444444444444
Jahidi White,2002,0,0,NA
Jake Tsakalidis,2002,0,1,0
Jake Voskuhl,2002,0,0,NA
Jalen Rose,2002,89,246,0.3617886178861789
Jamaal Magloire,2002,0,1,0
Jamaal Tinsley,2002,42,175,0.24
Jamal Crawford,2002,26,58,0.4482758620689655
Jamal Mashburn,2002,41,112,0.36607142857142855
James Posey,2002,67,237,0.28270042194092826
Jamison Brewer,2002,0,1,0
Jaren Jackson,2002,7,20,0.35
Jarron Collins,2002,0,1,0
Jason Caffey,2002,0,1,0
Jason Collier,2002,0,1,0
Jason Collins,2002,1,2,0.5
Jason Hart,2002,0,2,0
Jason Kidd,2002,117,364,0.32142857142857145
Jason Richardson,2002,82,246,0.3333333333333333
Jason Terry,2002,172,444,0.38738738738738737
Jason Williams,2002,127,430,0.29534883720930233
Jeff Foster,2002,2,15,0.13333333333333333
Jeff McInnis,2002,75,234,0.32051282051282054
Jeff Trepagnier,2002,0,1,0
Jelani McCoy,2002,0,0,NA
Jermaine Jackson,2002,1,2,0.5
Jermaine O'Neal,2002,1,14,0.07142857142857142
Jerome James,2002,0,0,NA
Jerome Moiso,2002,0,0,NA
Jerome Williams,2002,0,0,NA
Jerry Stackhouse,2002,86,300,0.2866666666666667
Jeryl Sasser,2002,0,0,NA
Jim Jackson,2002,38,81,0.4691358024691358
Joe Crispin,2002,15,39,0.38461538461538464
Joe Johnson,2002,38,130,0.2923076923076923
Joe Smith,2002,2,3,0.6666666666666666
Joel Przybilla,2002,0,1,0
John Amaechi,2002,0,0,NA
John Crotty,2002,31,69,0.4492753623188406
John Starks,2002,29,95,0.30526315789473685
John Stockton*,2002,25,78,0.32051282051282054
John Wallace,2002,5,13,0.38461538461538464
Johnny Newman,2002,22,57,0.38596491228070173
Jon Barry,2002,121,258,0.4689922480620155
Jonathan Bender,2002,45,125,0.36
Joseph Forte,2002,0,3,0
Jud Buechler,2002,21,60,0.35
Jumaine Jones,2002,52,168,0.30952380952380953
Juwan Howard,2002,0,2,0
Karl Malone*,2002,9,25,0.36
Kedrick Brown,2002,5,27,0.18518518518518517
Keith Van Horn,2002,101,293,0.3447098976109215
Kelvin Cato,2002,0,1,0
Kendall Gill,2002,6,44,0.13636363636363635
Kenny Anderson,2002,9,33,0.2727272727272727
Kenny Satterfield,2002,7,27,0.25925925925925924
Kenny Thomas,2002,0,16,0
Kenyon Martin,2002,15,67,0.22388059701492538
Keon Clark,2002,0,5,0
Kerry Kittles,2002,98,242,0.4049586776859504
Kevin Garnett,2002,37,116,0.31896551724137934
Kevin Ollie,2002,1,2,0.5
Kevin Willis,2002,0,1,0
Keyon Dooling,2002,4,14,0.2857142857142857
Kirk Haston,2002,0,3,0
Kobe Bryant,2002,33,132,0.25
Kurt Thomas,2002,1,6,0.16666666666666666
Kwame Brown,2002,0,1,0
LaPhonso Ellis,2002,38,124,0.3064516129032258
Lamar Odom,2002,16,84,0.19047619047619047
Lamond Murray,2002,101,238,0.42436974789915966
Larry Hughes,2002,18,93,0.1935483870967742
Larry Robinson,2002,1,2,0.5
Latrell Sprewell,2002,145,403,0.3598014888337469
Lavor Postell,2002,6,26,0.23076923076923078
Lawrence Funderburke,2002,0,3,0
Lee Nailon,2002,1,2,0.5
Leon Smith,2002,0,0,NA
Lindsey Hunter,2002,79,208,0.3798076923076923
Loren Woods,2002,0,2,0
Lorenzen Wright,2002,0,2,0
Lucious Harris,2002,44,118,0.3728813559322034
Malik Allen,2002,0,1,0
Malik Rose,2002,1,12,0.08333333333333333
Mamadou N'Diaye,2002,0,0,NA
Marc Jackson,2002,0,1,0
Marcus Camby,2002,0,1,0
Marcus Fizer,2002,7,41,0.17073170731707318
Mark Blount,2002,0,0,NA
