posteam,off_epa_per_game,def_epa_per_game
ARI,0.9917275315643749,3.5030101017033246
ATL,-6.173864475739752,-3.8667067885722495
BAL,0.4660797435581731,-1.2776772854816105
BUF,7.018150080535906,6.43006606578295
CAR,-10.769299723950837,4.009344548247735
CHI,-7.003430536704565,0.3566914268955448
CIN,2.2975550680199497,2.9057600032828725
CLE,-1.920309941191178,-0.26306412054046036
DAL,3.700641187327373,6.9468312787615805
DEN,0.8258188521801403,-0.08975683514225917
DET,-5.014081760174568,-4.983173326902083
GB,5.969461061639019,-0.43164013705600446
HOU,-9.07231804718084,-2.8717345325297576
IND,3.200887324553468,2.553399952351679
JAX,-7.405792272662122,-6.983382309891887
KC,10.192034565562295,-2.0235275267524253
LA,2.832151409824625,4.497002179356743
LAC,3.5981369186952037,-2.828272547760565
LV,-0.8859198015237537,-3.682608394317681
MIA,-5.010834370040996,2.7813967615885162
MIN,-0.43042546033030293,1.052805187079915
NE,3.456334559441112,4.72341861396773
NO,-7.112306279169076,9.037829828239307
NYG,-10.081945254024339,-0.17840729428129787
NYJ,-5.874234270370692,-8.119019878175681
PHI,2.5681660335566145,0.2588117535265988
PIT,-5.308238126049068,1.1865000215470343
SEA,1.2347344874807127,0.36227444236771394
SF,2.394399600586675,1.7670961004882948
TB,5.473611511071418,5.09094497988622
TEN,-0.3371964897699653,3.618045125462457
WAS,-3.2628392404780366,-3.534568482658938
